county,week_start,predicted_price
Kiambu,2025-10-13,39.98943576079013
Kirinyaga,2025-10-13,33.132269074074074
Mombasa,2025-10-13,40.88748919051628
Nairobi,2025-10-13,39.894373984487736
Uasin-Gishu,2025-10-13,36.259482664462055
Kiambu,2025-10-20,38.62536324529017
Kirinyaga,2025-10-20,34.5271753425926
Mombasa,2025-10-20,40.95279547138045
Nairobi,2025-10-20,38.16577018951414
Uasin-Gishu,2025-10-20,36.749449195767156
Kiambu,2025-10-27,36.777863342592546
Kirinyaga,2025-10-27,34.89976486640212
Mombasa,2025-10-27,39.63646651806527
Nairobi,2025-10-27,37.03570839575698
Uasin-Gishu,2025-10-27,36.548041041005256
Kiambu,2025-11-03,36.706478382275115
Kirinyaga,2025-11-03,35.185255397366525
Mombasa,2025-11-03,36.57791510582009
Nairobi,2025-11-03,37.050066967185565
Uasin-Gishu,2025-11-03,35.94634687830684
Kiambu,2025-11-10,36.67543126058199
Kirinyaga,2025-11-10,35.12095269498556
Mombasa,2025-11-10,35.97796933561807
Nairobi,2025-11-10,36.81254334196513
Uasin-Gishu,2025-11-10,35.980857156084625
Kiambu,2025-11-17,36.41299226499116
Kirinyaga,2025-11-17,35.16005491720779
Mombasa,2025-11-17,36.112864851491096
Nairobi,2025-11-17,36.76764193411677
Uasin-Gishu,2025-11-17,35.989401970899436
Kiambu,2025-11-24,35.91781697663137
Kirinyaga,2025-11-24,35.33056995689032
Mombasa,2025-11-24,35.77643757010578
Nairobi,2025-11-24,36.7122323882614
Uasin-Gishu,2025-11-24,35.84409778835977
Kiambu,2025-12-01,35.87374267768958
Kirinyaga,2025-12-01,35.43425303956227
Mombasa,2025-12-01,35.684626072751286
Nairobi,2025-12-01,36.77170989707973
Uasin-Gishu,2025-12-01,35.82950523544971
Kiambu,2025-12-08,35.8846727802028
Kirinyaga,2025-12-08,35.455995109668095
Mombasa,2025-12-08,35.492958744708965
Nairobi,2025-12-08,36.854204897079725
Uasin-Gishu,2025-12-08,35.85540480555554
Kiambu,2025-12-15,35.847966251984104
Kirinyaga,2025-12-15,35.71504361892735
Mombasa,2025-12-15,35.5063184966931
Nairobi,2025-12-15,36.907654341524164
Uasin-Gishu,2025-12-15,35.88829989814814
Kiambu,2025-12-22,35.91174948611109
Kirinyaga,2025-12-22,35.84885278571427
Mombasa,2025-12-22,35.61583832473543
Nairobi,2025-12-22,36.92950753596861
Uasin-Gishu,2025-12-22,35.892021326719565
Kiambu,2025-12-29,36.06741946979716
Kirinyaga,2025-12-29,36.21211352116398
Mombasa,2025-12-29,35.854007354497305
Nairobi,2025-12-29,37.06992036533369
Uasin-Gishu,2025-12-29,35.99378869466489
Kiambu,2026-01-05,36.086661692019376
Kirinyaga,2026-01-05,36.18620394444441
Mombasa,2026-01-05,35.92331193121689
Nairobi,2026-01-05,37.07959842088925
Uasin-Gishu,2026-01-05,35.97000198831568
Kiambu,2026-01-12,36.27229040564371
Kirinyaga,2026-01-12,36.39106342129626
Mombasa,2026-01-12,36.03708205687826
Nairobi,2026-01-12,37.235733787952746
Uasin-Gishu,2026-01-12,36.07189079453261
Kiambu,2026-01-19,36.344676631834176
Kirinyaga,2026-01-19,36.47398871384475
Mombasa,2026-01-19,36.017556739417955
Nairobi,2026-01-19,37.33997670594217
Uasin-Gishu,2026-01-19,36.16227041754848
Kiambu,2026-01-26,36.32453493540561
Kirinyaga,2026-01-26,36.44135764241618
Mombasa,2026-01-26,36.09771500661371
Nairobi,2026-01-26,37.294792578958045
Uasin-Gishu,2026-01-26,36.14731239109344
Kiambu,2026-02-02,36.29831326873894
Kirinyaga,2026-02-02,36.423811623897656
Mombasa,2026-02-02,36.217440633156926
Nairobi,2026-02-02,37.265982578958045
Uasin-Gishu,2026-02-02,36.16194928262783
Kiambu,2026-02-09,36.30476586133153
Kirinyaga,2026-02-09,36.29836148500877
Mombasa,2026-02-09,36.27456334744264
Nairobi,2026-02-09,37.26812424562471
Uasin-Gishu,2026-02-09,36.1678509492945
Kiambu,2026-02-16,36.30684919466486
Kirinyaga,2026-02-16,36.29296426278655
Mombasa,2026-02-16,36.17676392614634
Nairobi,2026-02-16,37.26812424562471
Uasin-Gishu,2026-02-16,36.1628159492945
Kiambu,2026-02-23,36.28363609942677
Kirinyaga,2026-02-23,36.266729778659574
Mombasa,2026-02-23,36.118581154982316
Nairobi,2026-02-23,37.24491115038662
Uasin-Gishu,2026-02-23,36.147925562389744
Kiambu,2026-03-02,35.682848956569636
Kirinyaga,2026-03-02,35.787822701939994
Mombasa,2026-03-02,35.60738012985005
Nairobi,2026-03-02,36.6784682271062
Uasin-Gishu,2026-03-02,35.521157933421485
Kiambu,2026-03-09,35.646660629850054
Kirinyaga,2026-03-09,35.759547202601375
Mombasa,2026-03-09,35.45602949559081
Nairobi,2026-03-09,36.59863745197392
Uasin-Gishu,2026-03-09,35.40840790432097
Kiambu,2026-03-16,35.56814657958551
Kirinyaga,2026-03-16,35.654211221119894
Mombasa,2026-03-16,35.43000386980919
Nairobi,2026-03-16,36.58887978001624
Uasin-Gishu,2026-03-16,35.32718537720457
Kiambu,2026-03-23,35.616964502865955
Kirinyaga,2026-03-23,35.67981735207229
Mombasa,2026-03-23,35.44513137642296
Nairobi,2026-03-23,36.20747424782929
Uasin-Gishu,2026-03-23,35.30245024007937
Kiambu,2026-03-30,35.51380881503527
Kirinyaga,2026-03-30,35.64744358884477
Mombasa,2026-03-30,35.408351239297744
Nairobi,2026-03-30,35.93123796476051
Uasin-Gishu,2026-03-30,35.14867494576718
Kiambu,2026-04-06,35.40874424933861
Kirinyaga,2026-04-06,35.57216947508817
Mombasa,2026-04-06,35.3425895064935
Nairobi,2026-04-06,35.8633277557658
Uasin-Gishu,2026-04-06,34.85361260185185
Kiambu,2026-04-13,35.28280657539682
Kirinyaga,2026-04-13,35.55529702314813
Mombasa,2026-04-13,35.284933461519955
Nairobi,2026-04-13,35.74884965762784
Uasin-Gishu,2026-04-13,34.54457217845117
Kiambu,2026-04-20,35.13060235642135
Kirinyaga,2026-04-20,35.4289399390933
Mombasa,2026-04-20,35.06780923791486
Nairobi,2026-04-20,35.566662760080945
Uasin-Gishu,2026-04-20,34.37426608116882
Kiambu,2026-04-27,34.82127838155363
Kirinyaga,2026-04-27,35.337323952861944
Mombasa,2026-04-27,34.76098847667148
Nairobi,2026-04-27,35.544639588123275
Uasin-Gishu,2026-04-27,34.325933979316964
Kiambu,2026-05-04,34.439920466089454
Kirinyaga,2026-05-04,35.32739352825876
Mombasa,2026-05-04,34.40454876887928
Nairobi,2026-05-04,35.560838865901054
Uasin-Gishu,2026-05-04,34.336571340428065
Kiambu,2026-05-11,34.32143506926406
Kirinyaga,2026-05-11,35.20743116384078
Mombasa,2026-05-11,34.249311738456
Nairobi,2026-05-11,35.52885678433139
Uasin-Gishu,2026-05-11,34.381496545454546
Kiambu,2026-05-18,34.37809804677728
Kirinyaga,2026-05-18,34.99826494955507
Mombasa,2026-05-18,34.230043686207324
Nairobi,2026-05-18,35.53059200258536
Uasin-Gishu,2026-05-18,34.41850713407887
Kiambu,2026-05-25,34.41663046079844
Kirinyaga,2026-05-25,35.01397070021645
Mombasa,2026-05-25,34.23469563462001
Nairobi,2026-05-25,35.7105349060245
Uasin-Gishu,2026-05-25,34.43098745153919
Kiambu,2026-06-01,34.470858410533886
Kirinyaga,2026-06-01,34.70264832058681
Mombasa,2026-06-01,34.318734344937475
Nairobi,2026-06-01,35.70060892454303
Uasin-Gishu,2026-06-01,34.413609455507434
Kiambu,2026-06-08,33.79859926106298
Kirinyaga,2026-06-08,33.95735519745067
Mombasa,2026-06-08,33.7151241768879
Nairobi,2026-06-08,34.99081087031022
Uasin-Gishu,2026-06-08,33.71691225108223
Kiambu,2026-06-15,33.68369005802066
Kirinyaga,2026-06-15,33.80745058832367
Mombasa,2026-06-15,33.61467238786675
Nairobi,2026-06-15,34.95490094462479
Uasin-Gishu,2026-06-15,33.60332952290762
