Feature,Importance
price_rolling_mean_4,0.7913113791171625
price_lag_1,0.17158721817642622
price_rolling_mean_8,0.008358322365910867
price_rolling_std_4,0.0046226211758304365
price_rolling_mean_12,0.0033782444396762324
price_rolling_std_8,0.0026376424705130065
week_cos,0.0023966568027003385
temp_range,0.0015537598581963161
week,0.0015187869310864508
price_lag_4,0.0013629104854348448
month_cos,0.0013139573136186054
price_lag_2,0.0012492478898146417
price_lag_8,0.0011797874974694446
week_sin,0.0011273723206857453
temp_min_c,0.0010215742383580437
